111 112 113 121 122 123 131 132 133 211 212 213 221 222 223 231 232 233 311 312 313 321 322 323 331 332 333 
21 25 7 3 18 19 8 22 21 18 20 5 20 18 14 58 48 6 8 8 89 8 53 15 6 52 42 
4 62 8 5 53 107 6 15 5 62 51 28 91 13 6 23 16 21 16 12 98 18 50 28 11 23 11 
43 25 20 9 12 4 47 46 7 11 72 22 8 3 9 12 39 6 12 8 9 9 9 101 14 11 39 
12 24 7 11 9 16 11 50 3 6 25 6 20 67 12 26 61 50 6 24 14 4 35 78 9 60 108 
4 16 121 22 23 20 22 30 32 7 15 6 16 128 14 9 13 5 11 8 46 35 6 27 24 14 77 
6 27 17 38 4 5 17 12 29 16 127 5 7 16 17 3 4 15 14 3 15 27 5 46 41 68 59 
46 100 9 16 28 18 17 22 18 4 17 18 18 8 34 5 45 39 32 10 5 37 45 31 140 14 17 
33 32 53 71 30 58 34 12 41 10 33 19 33 44 23 20 88 10 20 14 37 28 15 9 16 36 69 
98 31 15 19 12 4 9 24 64 23 4 26 5 109 14 28 19 96 60 40 15 6 9 11 16 40 16 
63 14 7 21 10 11 39 35 3 5 29 18 11 107 25 5 71 15 12 43 3 34 15 10 4 24 48 
15 28 24 3 85 53 12 3 34 4 10 15 21 54 6 8 22 12 12 3 30 5 19 42 3 67 35 
16 23 108 5 17 3 33 49 42 36 32 20 37 16 11 14 63 3 9 20 42 42 22 69 3 12 16 
26 20 11 15 3 103 19 11 11 25 38 34 4 29 6 17 20 4 23 11 34 42 18 3 11 16 5 
11 30 23 27 42 12 44 62 15 31 30 12 7 42 8 51 5 32 24 43 66 17 11 6 37 10 49 
38 62 11 24 8 98 18 11 12 54 22 8 24 47 19 22 9 14 8 9 22 4 22 55 20 26 68 
38 3 46 18 11 101 18 27 7 18 52 9 24 129 12 6 85 39 38 24 22 35 10 30 4 21 68 
55 57 7 16 25 18 37 5 45 5 6 8 4 46 3 37 17 57 8 36 17 4 4 3 65 29 7 
29 55 25 66 43 66 68 45 20 26 7 10 80 77 11 19 23 6 21 12 49 15 38 39 9 8 16 
111 42 15 3 8 31 47 16 23 29 24 111 29 69 33 14 56 26 4 25 24 73 35 4 23 24 72 
96 5 11 140 55 46 89 15 8 23 56 36 54 7 21 10 22 20 20 25 24 5 79 58 59 13 96 
6 95 32 32 41 7 34 11 29 6 40 53 21 49 16 13 11 66 6 59 81 13 25 117 9 49 75 
10 32 117 92 32 23 26 5 59 32 149 26 31 24 4 30 28 16 11 9 9 37 13 4 15 11 32 
108 11 80 19 36 24 5 5 26 49 24 15 3 17 30 3 4 12 41 12 3 39 65 29 13 58 39 
85 54 56 43 14 38 28 16 36 18 28 30 20 8 29 5 3 4 15 4 102 22 19 11 104 13 49 
61 14 7 27 10 48 13 13 10 18 41 12 50 11 7 62 200 20 15 75 9 10 95 40 63 64 96 
12 8 5 6 23 12 112 23 19 20 148 25 45 21 18 18 21 32 14 47 76 7 65 15 8 5 16 
19 5 20 46 77 12 31 37 25 10 43 5 9 3 13 21 20 31 14 25 4 52 22 13 7 44 10 
105 74 19 7 17 9 5 3 30 70 26 24 6 46 5 18 56 28 35 132 8 68 11 4 9 24 22 
